,No.,아이템명,아이템 설명,디자인 ref
,1,발목 보호대,발목을 보호해 주는 보호대,의인테크 발목보호대(링크)
,2,<트로피컬 글로우> 앨범,세계적 인기 밴드 <트로피컬 글로우> 앨범,제임스 빈센트 맥모로우 2집 Post Tropical(링크)
,3,토끼 인형 키링,미니 토끼 인형 키링,귀여운 느낌의 토끼 인형 키링(링크)
,4,"한정판 소주 <여름, 레몬, 밤>",소주 브랜드에서 새로 나온 과일 소주,트로피컬 톡소다 레몬톡톡(레몬 대문짝만하게)
,5,하늘색 반팔 티셔츠,검은색이 아닌 옷,하늘색 무지 반팔 티셔츠
,6,[한식명인 최명자의 쌈밥명가] 식사권,유명한 쌈밥 맛집의 식사권,적당히 지류 티켓 모양이기만 하면 충분하겠습니다 / 요리사 그림 작게
,7,알밤달밤 밤식빵,학교 근처 유명 베이커리 [밤밤밤]의 밤식빵,밤이 보이는 단면 1쪽
,8,[내 맘에 딸기가득] 딸기우유,귀여운 패키지의 딸기우유,덴마크 딸기딸기우유
,9,엠파이어 다이아몬드,고급 위스키,"앱솔루트 피치(링크), 봄베이 사파이어처럼 블루톤"
,10,QHD 모니터,화질이 매우 좋은 모니터,모니터기만 하면 됩니다
,11,<점프점프 거북맨> 게임 칩,예은과 어릴 때 함께 플레이했던 게임 칩,닌텐도 게임 칩
,12,<트로피컬 글로우> 내한 콘서트 티켓,<트로피컬 글로우> 내한 콘서트 티켓,적당히 지류 티켓 모양이기만 하면 충분하겠습니다
,13,<러블리톡> 팝업스토어 입장 확정 티켓,<러블리톡> 팝업스토어 입장 확정 티켓,적당히 지류 티켓 모양이기만 하면 충분하겠습니다
,14,리본 머리끈,흰색 실크 리본 머리끈,실크의 광이 느껴지는 길다란 흰색 머리끈(링크)
,15,생동감이 느껴지는 헤드셋,로아의 목소리를 더 잘 들을 수 있는 노이즈 캔슬링 헤드셋,은파 무전기 이어폰(링크) : 뭔가 좀 누가 봐도 과몰입스러운 디자인이면 충분합니다
,16,에너지 음료,고카페인 각성 음료,몬스터
,17,종합비타민,힘이 나는 피로 회복 비타민,형광주황색 알약 1개
,18,아르기닌,남성건강 영양제,(아르기닌은 대표적인 정력 영양제입니다) 불끈 자세 팔 아이콘 들어간 종이 상자
,19,프로틴_초코맛,단백질 충전에 필요한 초코맛 프로틴,"원통형 통 1개, 초코색"
,20,프로틴_딸기맛,단백질 충전에 필요한 딸기맛 프로틴,"원통형 통 1개, 분홍색"
,21,기계식 키보드,타건음이 좋은 기계식 키보드,키보드면 됩니다
,22,게이밍 마우스,게임 플레이에 도움이 되는 마우스,"로지텍 마우스 G502, LED 레인보우 발광등 요소"
,23,버티컬 마우스,손목 건강에 도움이 되는 마우스,제닉스 STORMX VM2
,24,노트,필기에 사용하는 노트,노트 1권
,25,볼펜,필기에 사용하는 볼펜,검은색 볼펜 1개(제트스트림)
,26,텀블러,음료를 담아 다닐 수 있는 텀블러,"스탠리, 빨대 없이"
,27,보조배터리,어디서나 충전할 수 있는 보조배터리,보조배터리인 게 티나도록 짧은 케이블 하나 달아주세요
,28,포스트잇,공부할 때 사용하는 메모지,노란색 포스트잇
,29,다이어리,하루를 기록하는 일기장,베이지색 가죽 표지 다이어리
,30,형광펜 세트,필기에 사용하는 형관펜 3색 세트,"노랑, 분홍, 파랑 3색 형광펜"
,31,노트북 거치대,노트북을 올려둘 수 있는 거치대,이런 걸 상상하긴 했는데... 아니어도 되니 거치대구나 싶으면 됩니다
,32,블루라이트 차단 안경,눈에 좋지 않은 청광을 차단하는 안경,세피아 빛이 도는 렌즈의 안경
,33,휴대용 우산,가방에 쏙 들어가는 작은 우산,접이식 우산이 접힌 모습(이런)
,34,수면용 무드등,부드러운 빛이 나는 무드등,심플하면서 노란 수면등이 켜진 모습이면 됩니다
,35,<마일드 스위트> 초콜릿,달콤한 밀크초콜릿,이런 식으로 표현된 판초콜릿
,36,<몰랑말랑 후르츠> 젤리,과일 맛의 하트 모양 젤리,하리보 러브하트젤리 / 봉투 안에 든 거나 두세개쯤 그린 거 둘 중 예쁜 걸로 고르셔도 됩니다
,37,미니 화분 다육이,작은 다육식물 화분,어떻게 그리셔도 상관없지만 실제 다육이 종류가 아니어도 되니 귀엽게
,38,탁상형 달력,책상 위에 올려놓는 달력,"가장 흔한 스프링 달려서 뒤로 넘기는 달력, 그림이나 숫자 없어도 됩니다"
,39,무릎담요,적당한 사이즈의 폭신한 담요,"잘 개어져 있는 폭신한 촉감이 느껴지는 담요, 옅은 핑크색"
,40,샤프,필기에 사용하는 샤프,"0.5mm 제도샤프 PRO, 볼펜이 검은색이라 샤프는 검은색만 아니게 해주세요"
,41,에너지바,견과류가 든 에너지바,"초콜릿보다 좁은 폭, 덩어리진 토핑들이 보이게 이것처럼"
,42,아이스 아메리카노,시원한 아메리카노 한 잔,"둥근 돔이 씌워진 플라스틱 컵, 빨대와 함께 담긴 아이스 아메리카노"
,43,핸드크림,좋은 향이 나는 핸드크림,"그냥 튜브만 그려두면 우리 고객들은 이게 뭔지 잘 모를 것 같아서, 튜브에서 크림이 좀 나와있다던가... 하면 어떨까요"
,44,,,